,Cost_since_last,Current1,Current2,Current3,Energy_since_last,Fuel_hour_rate,Fuel_since_last,PowerFactor1,PowerFactor2,PowerFactor3,Power_apparent_total,Power_reactive_total,Power_real_total,Voltage1,Voltage2,Voltage3,batterycapacity
30,0.13118851067,13.75008,4.2969,0.14323,5.2475404268,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
31,0.13081955019,13.75008,4.2969,0.14323,5.2327820076,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
32,0.13091179031,13.75008,4.2969,0.14323,5.2364716124,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
33,0.131246069237,13.89331,4.2969,0.14323,5.24984276948,0.0,0.0,0.8,0.8,0.0,4183.7483,2510.24898,3346.99864,230.0,230.0,0.0,99.6691050844
34,0.13065812998,13.60685,4.2969,0.14323,5.2263251992,0.0,0.0,0.8,0.8,0.0,4117.8625,2470.7175,3294.29,230.0,230.0,0.0,99.6691050844
35,0.13049670977,13.89331,4.2969,0.14323,5.2198683908,0.0,0.0,0.8,0.8,0.0,4183.7483,2510.24898,3346.99864,230.0,230.0,0.0,99.6691050844
36,0.137568177779,13.60685,6.15889,0.14323,5.50272711117,0.0,0.0,0.8,0.8,0.0,4546.1202,2727.67212,3636.89616,230.0,230.0,0.0,99.6691050844
37,0.136952420073,13.75008,4.2969,0.14323,5.47809680293,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
38,1.16215230556e-05,13.89331,4.2969,0.14323,0.000464860922222,0.0,0.0,0.8,0.8,0.0,4183.7483,2510.24898,3346.99864,230.0,230.0,0.0,99.6691050844
39,0.0,13.75008,4.2969,0.14323,0.0,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
40,0.13102709046,13.75008,4.2969,0.14323,5.2410836184,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
41,0.131442171,13.75008,4.2969,0.14323,5.25768684,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
42,0.137053170443,13.60685,4.2969,0.14323,5.4821268177,0.0,0.0,0.8,0.8,0.0,4117.8625,2470.7175,3294.29,230.0,230.0,0.0,99.6691050844
43,0.131517756654,13.75008,4.2969,0.14323,5.26071026616,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
44,0.130920575083,13.60685,4.2969,0.14323,5.23682300333,0.0,0.0,0.8,0.8,0.0,4117.8625,2470.7175,3294.29,230.0,230.0,0.0,99.6691050844
45,0.131931190049,13.75008,4.2969,0.14323,5.27724760196,0.0,0.0,0.8,0.8,0.0,4150.8054,2490.48324,3320.64432,230.0,230.0,0.0,99.6691050844
46,0.131176614623,13.89331,4.2969,0.14323,5.24706458491,0.0,0.0,0.8,0.8,0.0,4183.7483,2510.24898,3346.99864,230.0,230.0,0.0,99.6691050844
47,0.142683935625,16.90114,4.2969,0.14323,5.707357425,0.0,0.0,0.8,0.8,0.0,4875.5492,2925.32952,3900.43936,230.0,230.0,0.0,99.6691050844
48,0.0,15.61207,4.2969,0.14323,0.0,0.0,0.0,0.8,0.8,0.0,4579.0631,2747.43786,3663.25048,230.0,230.0,0.0,99.6691050844
49,0.142950224067,15.32561,4.2969,0.14323,5.71800896267,0.0,0.0,0.8,0.8,0.0,4513.1773,2707.90638,3610.54184,230.0,230.0,0.0,99.6691050844
50,0.141346453885,15.18238,4.2969,0.14323,5.6538581554,0.0,0.0,0.8,0.8,0.0,4480.2344,2688.14064,3584.18752,230.0,230.0,0.0,99.6691050844
51,0.140459740827,15.03915,4.2969,0.14323,5.61838963307,0.0,0.0,0.8,0.8,0.0,4447.2915,2668.3749,3557.8332,230.0,230.0,0.0,99.6691050844
52,0.140112559264,15.18238,4.2969,0.14323,5.60450237056,0.0,0.0,0.8,0.8,0.0,4480.2344,2688.14064,3584.18752,230.0,230.0,0.0,99.6691050844
53,0.139719074625,14.89592,4.2969,0.14323,5.588762985,0.0,0.0,0.8,0.8,0.0,4414.3486,2648.60916,3531.47888,230.0,230.0,0.0,99.6691050844
